date,open,high,low,close,volume
2017-01-03,13.5573,13.7301,13.5189,13.6629,651068
2017-01-04,13.7397,14.1142,13.7109,14.095,927614
2017-01-05,14.1142,14.1142,13.8741,13.9125,536728
2017-01-06,13.9413,13.9605,13.7877,13.9221,426332
2017-01-09,13.9413,13.9413,13.8261,13.8741,482804
2017-01-10,13.8549,13.9989,13.8453,13.9317,358636
2017-01-11,13.9701,13.9701,13.7781,13.8165,438953
2017-01-12,13.7781,13.8069,13.5573,13.7301,491314
2017-01-13,13.7781,13.9317,13.7781,13.8453,327855
2017-01-17,13.8549,13.8933,13.7301,13.7781,404015
2017-01-18,13.8453,13.8453,13.5765,13.6341,393166
2017-01-19,13.6533,13.7397,13.5285,13.5861,475142
2017-01-20,13.5765,13.7781,13.5573,13.5765,604971
2017-01-23,13.2116,13.3556,13.0676,13.346,1125580
2017-01-24,13.4037,13.9413,13.3941,13.8453,1212465
2017-01-25,13.9605,14.0277,13.8453,13.8933,637921
2017-01-26,13.8933,13.9701,13.7685,13.8549,439853
2017-01-27,13.9029,13.9509,13.8357,13.9221,423218
2017-01-30,13.8933,13.8933,13.6725,13.7589,488889
2017-01-31,13.7685,13.7912,13.5861,13.7877,791425
2017-02-01,13.9029,13.9125,13.7877,13.7877,461037
2017-02-02,13.7685,13.8549,13.5957,13.7013,835218
2017-02-03,13.7301,13.8549,13.6629,13.7301,877085
2017-02-06,13.6725,13.7182,13.5765,13.6629,832523
2017-02-07,13.5381,13.5861,13.298,13.3364,1033720
2017-02-08,13.4517,13.5573,13.202,13.5381,1207136
2017-02-09,13.5189,13.6341,13.4037,13.4133,891187
2017-02-10,13.4997,13.6149,13.4901,13.5381,853667
2017-02-13,13.5669,13.6821,13.5285,13.6053,812674
2017-02-14,13.6053,13.6341,13.4325,13.4517,1153931
2017-02-15,13.4517,13.6917,13.4517,13.5861,1444788
2017-02-16,13.5957,13.6821,13.4997,13.6341,1523731
2017-02-17,13.6437,13.6533,13.4709,13.5765,1128569
2017-02-21,13.106,13.106,12.2419,12.6835,5643496
2017-02-22,12.2131,12.6451,12.2131,12.5011,2330862
2017-02-23,12.5683,12.6931,12.4339,12.4531,1283784
2017-02-24,12.4339,12.5011,12.3091,12.4243,1635116
2017-02-27,12.3763,12.4243,12.2899,12.4051,1203581
2017-02-28,12.4582,12.5162,12.1299,12.2651,2501250
2017-03-01,12.3616,12.4003,12.1299,12.1299,1842989
2017-03-02,12.1492,12.2216,11.8498,11.8594,1223815
2017-03-03,11.8112,11.9947,11.7918,11.9753,2523974
2017-03-06,11.956,12.014,11.676,11.6856,1153969
2017-03-07,11.6953,11.7436,11.647,11.676,1449128
2017-03-08,11.6663,11.7242,11.6566,11.6856,1375134
2017-03-09,11.3669,11.5504,11.1738,11.4731,3920103
2017-03-10,11.6084,11.6953,11.4828,11.6953,1934573
2017-03-13,11.676,11.8884,11.6566,11.8788,1613519
2017-03-14,11.8401,11.8498,11.7049,11.7049,860198
2017-03-15,11.7242,11.8788,11.6228,11.8112,965816
2017-03-16,11.8594,11.8884,11.6856,11.7049,810432
2017-03-17,11.7629,11.7918,11.647,11.7049,1306424
2017-03-20,11.7049,11.7629,11.589,11.589,574434
2017-03-21,11.6566,11.6566,11.3476,11.3476,994888
2017-03-22,11.2414,11.3669,11.1689,11.2607,759337
2017-03-23,11.2414,11.3862,11.1544,11.1834,804566
2017-03-24,11.2221,11.2993,11.1255,11.1544,639789
2017-03-27,11.0579,11.3283,11.0289,11.2414,992174
2017-03-28,11.1931,11.3959,11.1158,11.3186,950879
2017-03-29,11.2703,11.5214,11.2703,11.4345,1126443
2017-03-30,11.4442,11.5021,11.3669,11.4538,1614516
2017-03-31,11.4055,11.4635,11.2848,11.3669,1480889
2017-04-03,11.3766,11.4828,11.309,11.4055,874952
2017-04-04,11.3573,11.4249,11.2752,11.3283,875664
2017-04-05,11.3283,11.3669,10.9903,11.0482,988133
2017-04-06,11.0482,11.1738,10.9903,11.1641,584591
2017-04-07,11.1448,11.3959,11.1255,11.3862,692216
2017-04-10,11.3862,11.7629,11.3717,11.7436,2834598
2017-04-11,11.7629,11.985,11.7436,11.985,1266191
2017-04-12,11.985,12.0091,11.8232,11.9947,1370500
2017-04-13,11.9367,11.9657,11.8498,11.9367,1183496
2017-04-17,11.9947,12.1105,11.8884,12.0719,1437391
2017-04-18,12.0043,12.2168,11.9947,12.2168,814241
2017-04-19,12.2457,12.4389,12.1492,12.4099,1378007
2017-04-20,12.4775,12.5838,12.4196,12.5355,1527452
2017-04-21,12.4968,12.5644,12.3713,12.5258,1427784
2017-04-24,12.6997,12.8155,12.5355,12.7576,2073201
2017-04-25,12.8155,13.028,12.8155,12.9314,2529553
2017-04-26,12.8928,13.1053,12.8928,13.0956,1674069
2017-04-27,13.1149,13.2018,12.9507,13.0184,1421138
2017-04-28,13.028,13.028,12.719,12.719,1475234
2017-05-01,12.719,13.0377,12.719,12.8542,1413564
2017-05-02,12.8831,12.9604,12.7866,12.9604,1117908
2017-05-03,12.9218,12.9218,12.7093,12.7866,933626
2017-05-04,12.8252,12.8735,12.7383,12.8155,843566
2017-05-05,12.8349,12.9507,12.7962,12.9025,1610446
2017-05-08,12.8638,12.999,12.8397,12.9121,1571605
2017-05-09,13.1536,13.791,13.1536,13.2694,3142429
2017-05-10,13.2984,13.8296,13.2791,13.4626,6459249
2017-05-11,13.3564,13.5302,13.2405,13.5012,2087766
2017-05-12,13.4626,13.5592,13.3757,13.4626,1842546
2017-05-15,13.4819,13.6654,13.4529,13.5688,1242459
2017-05-16,13.6751,13.704,13.4626,13.5495,1712994
2017-05-17,13.3757,13.4819,13.1825,13.1922,1961594
2017-05-18,13.1922,13.2115,13.0763,13.1632,3236238
2017-05-19,13.2018,13.226,13.1053,13.1342,2839980
2017-05-22,13.1729,13.2453,13.1536,13.2212,1385368
2017-05-23,13.3081,13.3081,12.9797,12.999,1179332
2017-05-24,13.0763,13.1053,12.9411,13.086,1540324
2017-05-25,13.1342,13.3081,13.1053,13.2018,940714
2017-05-26,13.1536,13.1584,12.5741,12.69,1617601
2017-05-30,12.6851,13.0445,12.6754,12.9765,1167711
2017-05-31,13.0348,13.1805,13.0154,13.1125,1734831
2017-06-01,13.1611,13.4088,13.1514,13.3262,2059101
2017-06-02,13.3262,13.3262,13.0834,13.1222,1409714
2017-06-05,13.2291,13.2291,13.0154,13.0445,1018727
2017-06-06,12.9862,13.2145,12.9085,13.1222,1320467
2017-06-07,13.1319,13.1999,12.9668,13.0639,1208627
2017-06-08,13.0445,13.0737,12.9377,12.9765,1085379
2017-06-09,12.9862,13.1222,12.8794,12.9765,1686570
2017-06-12,12.9377,13.2096,12.8794,13.1125,1637401
2017-06-13,13.1902,13.297,13.0931,13.2485,1186457
2017-06-14,13.3359,13.3359,13.1708,13.3359,1095073
2017-06-15,13.1805,13.3456,13.1417,13.2679,796143
2017-06-16,13.0639,13.3359,12.9765,13.2291,1127430
2017-06-19,13.2971,13.3553,13.2194,13.3359,1068911
2017-06-20,13.3359,13.4039,13.1611,13.1611,1390715
2017-06-21,13.2388,13.2388,12.8697,12.8891,1527175
2017-06-22,12.9377,13.0737,12.8503,12.928,1460066
2017-06-23,12.9668,13.4719,12.9668,13.433,3681883
2017-06-26,13.4622,13.5107,13.3651,13.4719,1022543
2017-06-27,13.4428,13.4719,13.2922,13.3845,804213
2017-06-28,13.4039,13.6079,13.4039,13.501,1306544
2017-06-29,13.501,13.501,13.1222,13.3359,600909
2017-06-30,13.3262,13.4088,13.2776,13.3651,798379
2017-07-03,13.3748,13.4622,13.3165,13.3748,322556
2017-07-05,13.3651,13.4136,13.1125,13.1805,649425
2017-07-06,13.0737,13.1611,13.0348,13.0737,779608
2017-07-07,13.1319,13.3165,12.8406,13.3068,680806
2017-07-10,13.2679,13.3602,13.2194,13.3165,676829
2017-07-11,13.3165,13.3651,13.2291,13.3651,820186
2017-07-12,13.4136,13.5982,13.3893,13.5107,707881
2017-07-13,13.5302,13.5593,13.3553,13.4816,954750
2017-07-14,13.4622,13.6662,13.4622,13.5107,1286853
2017-07-17,13.5787,13.6856,13.501,13.6759,882719
2017-07-18,13.569,13.6807,13.4622,13.6662,549180
2017-07-19,13.6856,13.8847,13.6759,13.8604,1064008
2017-07-20,13.8604,14.045,13.841,13.9575,984926
2017-07-21,14.0352,14.0644,13.8993,13.977,760602
2017-07-24,13.9381,13.9575,13.8313,13.8896,458965
2017-07-25,13.9284,14.0838,13.9187,13.977,811454
2017-07-26,13.9673,13.9673,13.8313,13.9673,872404
2017-07-27,13.9867,14.0352,13.6856,13.8118,705965
2017-07-28,13.7341,13.9673,13.7341,13.9673,879617
2017-07-31,13.9867,14.0255,13.8798,13.8896,1049770
2017-08-01,13.9381,13.9381,13.5302,13.6079,2037553
2017-08-02,13.6176,13.773,13.5593,13.7341,1550580
2017-08-03,14.0255,14.0838,13.8021,13.9673,2027744
2017-08-04,14.0547,14.1129,13.5496,13.5787,1322505
2017-08-07,13.5787,13.7341,13.4816,13.7244,904628
2017-08-08,13.7341,13.7876,13.6176,13.7439,1577588
2017-08-09,13.705,13.9648,13.6904,13.841,967705
2017-08-10,13.7924,13.8507,13.7147,13.7536,1107978
2017-08-11,13.6759,13.8507,13.4719,13.841,1007960
2017-08-14,13.909,14.0644,13.909,14.045,781996
2017-08-15,14.0255,14.1227,13.8556,14.0352,768323
2017-08-16,14.0547,14.1907,14.0304,14.0838,662493
