date,open,high,low,close,volume
2017-04-13,13.5,13.6,11.88,12.12,2510706
2017-04-17,12.1,12.1,11.07,11.3,1650788
2017-04-18,11.24,11.5319,11.03,11.12,1539913
2017-04-19,11.08,11.69,10.81,10.99,1590456
2017-04-20,10.96,11.44,10.95,11.17,927597
2017-04-21,11.05,11.25,10.98,10.99,831543
2017-04-24,10.95,11.102,10.58,10.79,1310280
2017-04-25,10.83,11.09,10.64,10.97,1653098
2017-04-26,10.97,11.55,10.81,11.17,1223649
2017-04-27,11.12,11.27,10.75,11.25,1056626
2017-04-28,11.25,11.5,11.145,11.2,517702
2017-05-01,11.22,11.285,10.84,10.92,547298
2017-05-02,10.77,11.29,10.77,11.15,752065
2017-05-03,11.7,11.75,11.25,11.46,1125027
2017-05-04,11.41,11.47,10.85,11.41,1723837
2017-05-05,11.35,11.75,11.1521,11.62,1438844
2017-05-08,11.5,11.57,11.22,11.32,1247284
2017-05-09,11.28,11.8,11.23,11.57,1616250
2017-05-10,11.5,11.98,11.5,11.78,891300
2017-05-11,11.82,12.2,11.8001,11.97,1922239
2017-05-12,11.94,12.1,11.78,12.0,1280551
2017-05-15,12.11,12.2,11.69,11.78,1106023
2017-05-16,11.66,11.88,11.405,11.59,1856857
2017-05-17,11.67,11.76,11.39,11.54,1072192
2017-05-18,11.55,12.0,11.2,11.85,1102691
2017-05-19,11.94,12.1,11.79,11.92,931902
2017-05-22,11.89,12.0,11.78,11.81,662490
2017-05-23,11.85,11.96,11.55,11.65,599786
2017-05-24,11.74,11.79,11.38,11.6,1150905
2017-05-25,11.58,11.8,11.27,11.6,1544679
2017-05-26,11.5,11.74,11.45,11.61,857809
2017-05-30,11.52,11.7,11.48,11.57,1046400
2017-05-31,11.57,11.64,11.03,11.27,1320678
2017-06-01,11.27,11.39,10.88,11.06,2800957
2017-06-02,10.94,11.15,10.411,10.88,1615498
2017-06-05,10.89,11.36,10.68,11.2,3076308
2017-06-06,11.18,11.79,11.18,11.76,1743240
2017-06-07,11.7,11.93,11.45,11.7,2256594
2017-06-08,11.63,11.95,11.52,11.6,1378809
2017-06-09,11.56,12.0,11.32,11.49,2078317
2017-06-12,12.39,12.39,11.6,11.69,2957803
