date,open,high,low,close,volume
2017-01-03,17.2538,17.2917,17.1021,17.2007,887256
2017-01-04,17.2993,17.4207,17.2083,17.2159,2483872
2017-01-05,17.2235,17.2614,17.1332,17.1703,1208662
2017-01-06,17.2007,17.4055,17.14,17.2462,584282
2017-01-09,17.2159,17.2159,16.9882,16.9958,532397
2017-01-10,16.9427,17.14,16.9124,17.0717,942011
2017-01-11,17.0565,17.1096,16.9958,17.0262,323429
2017-01-12,17.0489,17.0489,16.8213,16.9503,400252
2017-01-13,16.9958,17.0584,16.8213,16.9275,622950
2017-01-17,16.8972,17.1172,16.882,16.9275,1524890
2017-01-18,17.1172,17.6332,17.0945,17.6104,2435742
2017-01-19,17.5725,17.5952,17.1628,17.2614,613683
2017-01-20,17.2462,17.4435,17.2386,17.3221,533146
2017-01-23,17.3221,17.3752,17.1552,17.2159,473986
2017-01-24,17.2235,17.3524,17.2159,17.2235,691871
2017-01-25,17.2462,17.3373,17.1931,17.2386,662064
2017-01-26,17.3752,17.3752,17.0869,17.1021,571558
2017-01-27,17.1779,17.1855,16.9958,17.0338,646507
2017-01-30,16.9807,17.0262,16.7682,16.9048,748239
2017-01-31,16.882,16.9503,16.6999,16.7379,936157
2017-02-01,16.7075,16.9124,16.7075,16.753,707247
2017-02-02,16.8593,16.9579,16.7891,16.7986,607751
2017-02-03,16.92,17.1855,16.92,17.1021,825154
2017-02-06,17.1476,17.1703,17.0186,17.0489,569232
2017-02-07,17.0565,17.1172,16.9731,16.9807,620252
2017-02-08,16.9958,17.1096,16.8972,16.9655,651976
2017-02-09,17.011,17.1552,16.9958,17.1096,621081
2017-02-10,17.1172,17.2235,17.0489,17.1703,308165
2017-02-13,17.2614,17.2614,17.0945,17.14,493411
2017-02-14,17.14,17.231,17.0224,17.0565,881215
2017-02-15,17.0262,17.1552,16.9882,17.0641,1068999
2017-02-16,17.0717,17.1628,17.0641,17.1096,544161
2017-02-17,17.1172,17.1969,17.0262,17.1476,598956
2017-02-21,17.2083,17.3221,17.14,17.231,824771
2017-02-22,17.2159,17.3676,17.1324,17.3069,995874
2017-02-23,17.3069,17.4055,17.2538,17.2993,589889
2017-02-24,17.3524,17.3524,17.1855,17.3373,597662
2017-02-27,17.36,17.4435,17.2766,17.4435,510621
2017-02-28,17.4131,17.4359,17.2766,17.2841,1307595
2017-03-01,17.4283,17.6104,17.3069,17.5876,852799
2017-03-02,17.1096,17.1628,16.2371,16.5026,3096798
2017-03-03,16.4419,16.533,16.0019,16.1991,1503119
2017-03-06,16.1688,16.313,16.1005,16.1157,1316769
2017-03-07,16.0474,16.0928,15.9108,15.9791,1351335
2017-03-08,16.0019,16.0853,15.9336,16.0246,929279
2017-03-09,16.0322,16.2257,16.0095,16.1309,846469
2017-03-10,16.1916,16.3205,16.1612,16.313,606847
