date,open,high,low,close,volume
2017-01-03,3.3881,3.4167,3.2831,3.3881,77218
2017-01-04,3.4167,3.913,3.3881,3.8462,410689
2017-01-05,3.8367,3.8462,3.6362,3.703,98170
2017-01-06,3.7221,3.7221,3.5694,3.6744,111969
2017-01-09,3.6744,3.6744,3.4645,3.5313,60039
2017-01-10,3.5408,3.6267,3.5026,3.5885,52917
2017-01-11,3.6458,3.703,3.5614,3.6935,61809
2017-01-12,3.742,3.742,3.4931,3.5599,43888
2017-01-13,3.579,3.6172,3.5313,3.5503,38605
2017-01-17,3.579,3.579,3.3709,3.3976,49565
2017-01-18,3.4072,3.4454,3.3404,3.369,39547
2017-01-19,3.3786,3.4358,3.1781,3.264,81280
2017-01-20,3.2831,3.3595,3.2068,3.2354,74115
2017-01-23,3.1018,3.264,2.8632,3.0922,99493
2017-01-24,3.1209,3.3776,3.1209,3.3117,74553
2017-01-25,3.3786,3.3881,3.2927,3.3117,38728
2017-01-26,3.3213,3.3213,3.1505,3.2545,31510
2017-01-27,3.3117,3.3976,3.2927,3.3595,58415
2017-01-30,3.3213,3.3213,3.1113,3.1209,53756
2017-01-31,3.0445,3.159,2.9586,2.9682,139791
2017-02-01,2.9682,3.2068,2.9682,3.14,51820
2017-02-02,3.1495,3.1781,3.0827,3.1018,35217
2017-02-03,3.1686,3.1855,3.0541,3.1018,44010
2017-02-06,3.035,3.035,2.9204,2.93,44865
2017-02-07,2.9395,3.0063,2.8823,2.9014,63273
2017-02-08,2.9109,2.9682,2.8155,2.8727,65432
2017-02-09,2.8918,3.0541,2.8727,3.0254,63514
2017-02-10,3.0159,3.1484,3.0159,3.0827,66501
2017-02-13,3.1113,3.2163,3.0541,3.1209,68566
2017-02-14,3.1018,3.1589,3.1018,3.14,77641
2017-02-15,3.14,3.1772,3.1064,3.159,39182
2017-02-16,3.1495,3.3022,3.1113,3.1972,113645
2017-02-17,3.1972,3.3499,3.159,3.2259,208175
2017-02-21,3.2449,3.7317,3.2449,3.5313,398271
2017-02-22,3.6362,3.6362,3.4263,3.5694,157595
2017-02-23,3.579,3.6362,3.1304,3.1495,230169
2017-02-24,3.1495,3.1972,3.1018,3.1304,31244
2017-02-27,3.1113,3.2449,3.1018,3.14,50353
2017-02-28,3.1495,3.2259,3.0541,3.1781,96201
2017-03-01,3.2927,3.3213,3.2163,3.2354,44187
2017-03-02,3.2449,3.2449,3.1209,3.1209,71330
2017-03-03,3.1209,3.1686,3.1113,3.1209,33812
2017-03-06,3.1209,3.1304,3.035,3.1018,34962
2017-03-07,3.0636,3.1877,3.0445,3.1686,110889
2017-03-08,3.1686,3.1972,2.9395,2.9682,42368
2017-03-09,2.9586,3.1315,2.9586,3.0354,58510
2017-03-10,3.093,3.1603,2.9447,2.9874,28883
2017-03-13,3.0066,3.4004,2.8884,3.2467,254855
2017-03-14,3.2179,3.3516,3.1939,3.2659,127431
2017-03-15,3.2659,3.3044,3.1853,3.2563,80087
2017-03-16,3.2563,3.3236,3.2084,3.2948,123352
2017-03-17,3.2467,3.3203,3.1891,3.2659,146940
2017-03-20,3.2563,3.362,3.2467,3.314,109548
2017-03-21,3.314,3.3908,3.0834,3.1699,99723
2017-03-22,3.1603,3.1987,3.1026,3.1603,48979
2017-03-23,3.1219,3.2179,3.1026,3.1891,76815
2017-03-24,3.1891,3.2659,3.1795,3.2083,52362
2017-03-27,3.1315,3.1699,3.093,3.1315,41878
2017-03-28,3.1123,3.1699,3.093,3.1411,82865
2017-03-29,3.1315,3.1891,3.093,3.1507,131488
2017-03-30,3.1507,3.1881,3.1026,3.1411,170478
2017-03-31,3.1411,3.1699,3.1219,3.1507,105395
2017-04-03,3.1507,3.1983,2.9778,3.045,159244
2017-04-04,3.0546,3.1123,3.0344,3.093,32797
2017-04-05,3.1315,3.1679,2.9297,2.949,43644
2017-04-06,2.9586,3.0738,2.9201,3.0546,72671
2017-04-07,3.0834,3.1219,3.0066,3.0642,40344
2017-04-10,3.1026,3.1725,3.093,3.1507,76921
2017-04-11,3.1411,3.1891,3.1171,3.1603,78167
2017-04-12,3.1507,3.1507,2.9874,2.997,40186
2017-04-13,2.997,3.0066,2.8625,2.8817,58469
2017-04-17,2.8817,3.0642,2.8817,3.045,66711
2017-04-18,3.0354,3.1219,3.0258,3.093,74065
2017-04-19,3.1315,3.1603,3.0739,3.1315,75290
2017-04-20,3.1315,3.1795,3.0834,3.1603,76826
2017-04-21,3.1603,3.1987,3.1123,3.1795,97312
2017-04-24,3.1891,3.314,3.1795,3.2563,134915
2017-04-25,3.2563,3.4484,3.2331,3.3716,329042
2017-04-26,3.3812,3.4484,3.3236,3.4004,114050
2017-04-27,3.41,3.4388,3.2563,3.2948,83456
2017-04-28,3.2852,3.2948,3.0987,3.1891,52477
2017-05-01,3.1891,3.3044,3.1891,3.2948,56394
2017-05-02,3.3044,3.3044,3.1781,3.2083,25840
2017-05-03,3.1795,3.2563,3.1058,3.1507,46837
2017-05-04,3.1603,3.1603,3.045,3.1026,44893
2017-05-05,3.1603,3.3236,3.1064,3.2852,73935
2017-05-08,3.2563,3.314,3.1699,3.2852,49158
2017-05-09,3.2755,3.362,3.2371,3.3332,166198
2017-05-10,3.3236,3.3236,3.1123,3.1795,227898
2017-05-11,3.1507,3.2852,3.1507,3.2563,78854
2017-05-12,3.2467,3.6694,3.2275,3.5061,654811
2017-05-15,3.6021,3.7654,3.2659,3.362,430916
2017-05-16,3.362,3.4484,3.314,3.41,230934
2017-05-17,3.41,3.41,3.2852,3.314,199151
2017-05-18,3.3524,3.3716,3.2563,3.2755,110783
2017-05-19,3.2852,3.362,3.2755,3.3236,171304
2017-05-22,3.314,3.3524,3.2852,3.3236,157021
2017-05-23,3.3236,3.3716,3.3044,3.3332,138699
2017-05-24,3.3236,3.3332,3.2179,3.2563,231116
2017-05-25,3.2179,3.2852,3.1699,3.2371,198625
2017-05-26,3.2467,3.3312,3.1806,3.2948,190308
2017-05-30,3.3044,3.3236,3.2083,3.3044,188992
2017-05-31,3.3044,3.3332,3.218,3.2755,129248
2017-06-01,3.2371,3.2948,3.2179,3.2371,112499
2017-06-02,3.2275,3.2951,3.2081,3.2758,185804
2017-06-05,3.2468,3.2951,3.2414,3.2854,95052
2017-06-06,3.2565,3.2758,3.1308,3.1695,179033
2017-06-07,3.1405,3.1985,2.9472,3.1791,258673
2017-06-08,3.1695,3.2371,3.1661,3.2178,195615
2017-06-09,3.2178,3.2589,3.2081,3.2178,100972
2017-06-12,3.2565,3.3048,3.2468,3.2854,306957
2017-06-13,3.2854,3.3434,3.2661,3.3144,148796
2017-06-14,3.3048,3.3724,3.2275,3.2951,123771
2017-06-15,3.2178,3.3144,3.2178,3.2565,122537
2017-06-16,3.2081,3.2744,3.1598,3.1695,153907
2017-06-19,3.1985,3.2178,3.1308,3.1888,75391
2017-06-20,3.1695,3.1888,3.0439,3.0439,76065
2017-06-21,3.0922,3.0922,2.725,2.9376,257202
2017-06-22,2.9666,3.0535,2.8893,3.0439,134630
2017-06-23,3.0439,3.2275,3.0292,3.1888,308673
2017-06-26,3.0632,3.1308,2.9666,2.9762,237086
2017-06-27,2.9955,3.0149,2.9003,2.9376,142611
2017-06-28,2.9762,3.0342,2.8989,2.9666,157837
2017-06-29,2.9762,2.9762,2.8023,2.8893,157239
2017-06-30,2.8893,2.9182,2.8409,2.8796,86524
2017-07-03,2.8796,2.9666,2.8409,2.9376,35010
2017-07-05,2.9472,2.9666,2.8699,2.9086,99376
2017-07-06,2.9086,2.9666,2.8699,2.9376,97568
2017-07-07,2.9472,3.0149,2.8989,3.0052,102041
2017-07-10,2.9955,3.2178,2.9859,3.1598,170420
2017-07-11,3.1502,3.2371,3.0931,3.1888,121145
2017-07-12,3.2468,3.2854,3.1212,3.1695,53348
2017-07-13,3.1695,3.1695,3.0825,3.1115,30457
2017-07-14,3.1018,3.2178,3.0922,3.1115,92898
2017-07-17,3.1212,3.1695,3.0729,3.0825,52839
2017-07-18,3.0922,3.1018,3.0052,3.0245,67343
2017-07-19,3.0245,3.0922,2.9955,3.0439,74912
2017-07-20,3.0439,3.0729,3.0052,3.0439,30452
2017-07-21,3.0729,3.0825,3.0052,3.0342,76749
2017-07-24,3.0439,3.1212,3.0245,3.0729,48457
2017-07-25,3.0922,3.1818,3.0632,3.1695,70369
2017-07-26,3.1695,3.2275,3.0825,3.1115,29144
2017-07-27,3.1212,3.1212,3.0342,3.0535,29925
2017-07-28,3.0439,3.0922,3.0052,3.0439,101012
2017-07-31,3.0535,3.1695,3.0303,3.1018,79395
2017-08-01,3.1502,3.1502,3.0535,3.0825,72788
2017-08-02,3.0922,3.1212,2.9956,3.0439,35913
2017-08-03,3.0727,3.0727,2.9472,2.9569,39041
2017-08-04,2.9762,2.9859,2.8506,2.8506,248568
2017-08-07,2.8989,2.9376,2.7636,2.7636,80729
2017-08-08,2.8216,2.9279,2.7153,2.7636,151359
2017-08-09,2.7443,2.783,2.4641,2.5124,116669
2017-08-10,2.4737,2.5317,2.4351,2.4448,63783
2017-08-11,2.3191,2.5414,2.3191,2.4931,100026
2017-08-14,2.4931,2.551,2.4544,2.4834,45247
2017-08-15,2.4737,2.4834,2.2322,2.3481,96224
2017-08-16,2.3095,2.3771,2.1549,2.2322,93312
2017-08-17,2.2032,2.2998,2.1742,2.1742,54696
2017-08-18,2.1065,2.2612,2.1065,2.1452,58420
2017-08-21,2.1259,2.2032,2.1259,2.1452,36976
2017-08-22,2.1452,2.2418,2.1452,2.2225,27312
2017-08-23,2.2032,2.2612,2.1742,2.1839,37097
2017-08-24,2.1549,2.2196,2.1549,2.1742,48849
2017-08-25,2.1742,2.1935,2.1355,2.1452,26106
2017-08-28,2.1645,2.2032,2.1307,2.1452,60536
2017-08-29,2.1259,2.1935,2.1065,2.1065,61593
2017-08-30,2.1065,2.1504,2.0872,2.0969,33602
2017-08-31,2.1164,2.1359,2.0774,2.1261,70630
2017-09-01,2.1456,2.3309,2.1359,2.2919,120114
2017-09-05,2.2822,2.4675,2.2724,2.3114,208975
2017-09-06,2.3602,2.3992,2.2139,2.2334,79323
2017-09-07,2.2432,2.2432,2.1652,2.2139,32686
2017-09-08,2.1994,2.2627,2.1749,2.2139,68141
2017-09-11,2.2432,2.3114,2.2334,2.2724,55427
2017-09-12,2.2724,2.3602,2.2627,2.2822,74844
2017-09-13,2.2919,2.3601,2.2919,2.3017,49525
2017-09-14,2.3017,2.3017,2.2042,2.2432,49463
2017-09-15,2.2529,2.2919,2.2042,2.2139,115217
2017-09-18,2.2237,2.3602,2.1944,2.331,91998
2017-09-19,2.3212,2.565,2.3212,2.4577,208328
2017-09-20,2.487,2.487,2.3115,2.3212,80279
2017-09-21,2.3017,2.3355,2.295,2.3114,19714
2017-09-22,2.3114,2.4275,2.3064,2.3797,77921
2017-09-25,2.3602,2.4187,2.3017,2.3797,93910
2017-09-26,2.3895,2.4285,2.3407,2.3505,24861
2017-09-27,2.37,2.4773,2.3407,2.4577,129848
2017-09-28,2.4773,2.5065,2.4187,2.4675,47165
2017-09-29,2.448,2.4577,2.3505,2.37,57213
2017-10-02,2.3602,2.6723,2.3602,2.604,191769
2017-10-03,2.6235,2.6723,2.4685,2.5845,143013
2017-10-04,2.5943,2.6626,2.3895,2.487,63475
2017-10-05,2.4577,2.6626,2.4577,2.5748,122059
2017-10-06,2.5748,2.7698,2.5455,2.6626,130698
2017-10-09,2.6333,2.6626,2.5604,2.6431,39030
2017-10-10,2.6431,2.6431,2.526,2.565,56481
2017-10-11,2.6138,2.9259,2.5455,2.7991,391394
2017-10-12,2.8089,2.9249,2.7698,2.7893,158753
2017-10-13,2.7991,2.9259,2.7991,2.8576,99752
2017-10-16,2.8771,3.0624,2.8771,3.0039,158417
2017-10-17,3.0527,3.238,2.9844,3.0527,513809
2017-10-18,3.1014,3.1014,2.9356,3.0234,142802
2017-10-19,2.9844,3.0819,2.9356,3.0722,205746
2017-10-20,3.1405,3.3063,3.1208,3.277,326946
2017-10-23,3.3258,3.4525,3.2818,3.3453,346252
2017-10-24,3.4135,3.6086,3.3939,3.5501,379997
2017-10-25,3.5598,3.6281,3.394,3.5696,312674
2017-10-26,3.6379,3.9304,3.5959,3.8817,353911
2017-10-27,3.9207,3.9695,3.7549,3.9012,402732
2017-10-30,3.9987,4.1157,3.9453,3.989,480486
