date,open,high,low,close,volume
2017-01-03,2.6,2.7,2.55,2.7,355603
2017-01-04,2.7,2.75,2.65,2.7,333589
2017-01-05,2.75,2.8,2.75,2.75,161349
2017-01-06,2.75,2.8,2.75,2.8,144507
2017-01-09,2.75,2.8,2.75,2.8,215635
2017-01-10,2.8,2.95,2.8,2.95,424426
2017-01-11,2.95,3.05,2.95,3.05,518353
2017-01-12,3.0,3.05,2.85,2.95,321373
2017-01-13,3.0,3.05,2.95,3.05,223802
2017-01-17,3.05,3.1,2.95,3.0,294934
2017-01-18,2.95,3.0,2.95,2.95,112565
2017-01-19,3.0,3.0,2.95,2.95,70413
2017-01-20,2.95,3.05,2.95,3.05,193086
2017-01-23,3.0,3.05,2.95,3.0,132234
2017-01-24,3.0,3.05,2.95,3.05,180808
2017-01-25,3.05,3.05,2.95,3.05,305648
2017-01-26,3.05,3.05,3.0,3.05,123731
2017-01-27,3.0,3.05,3.0,3.0,101737
2017-01-30,3.0,3.05,3.0,3.05,180202
2017-01-31,3.05,3.1,2.95,3.05,403407
2017-02-01,3.05,3.1,3.0,3.1,249757
2017-02-02,3.05,3.1,3.0,3.1,110264
2017-02-03,3.05,3.1,3.0,3.1,270066
2017-02-06,3.1,3.1,3.05,3.1,185304
2017-02-07,3.05,3.1,3.0,3.05,354403
2017-02-08,3.05,3.05,3.0,3.05,198616
2017-02-09,3.05,3.1,3.0,3.05,169677
2017-02-10,3.05,3.1,3.0,3.05,246768
2017-02-13,3.05,3.1,3.0,3.1,261224
2017-02-14,3.1,3.1,3.05,3.1,346868
2017-02-15,3.1,3.3,3.1,3.3,584685
2017-02-16,3.3,3.35,3.2,3.25,278749
2017-02-17,3.3,3.3,3.2,3.3,178941
2017-02-21,3.35,3.35,3.25,3.3,442207
2017-02-22,3.3,3.4,3.2,3.35,454513
2017-02-23,3.35,3.4,3.25,3.35,259987
2017-02-24,3.35,3.5,3.35,3.5,504192
2017-02-27,3.55,3.65,3.55,3.6,530856
2017-02-28,3.6,3.7,3.45,3.45,516141
2017-03-01,3.5,3.5,3.4,3.5,161161
2017-03-02,3.55,3.55,3.1501,3.2,585721
2017-03-03,3.25,3.3,3.1,3.15,243064
2017-03-06,3.1,3.2499,3.05,3.1,192687
2017-03-07,3.1,3.1,3.0,3.0,256579
2017-03-08,3.0,3.05,2.9,2.95,379018
2017-03-09,2.9,2.95,2.9,2.9,255068
2017-03-10,2.95,2.985,2.8,2.8,267909
2017-03-13,2.9,3.0,2.85,2.9,268393
2017-03-14,2.9,2.9309,2.75,2.8,430825
2017-03-15,2.8,2.85,2.75,2.8,585095
2017-03-16,2.8,2.85,2.75,2.75,746554
2017-03-17,2.95,3.15,2.75,2.75,2136751
2017-03-20,2.8,2.85,2.75,2.75,467509
2017-03-21,2.75,2.8,2.7,2.8,408204
2017-03-22,2.75,2.8,2.65,2.65,517044
2017-03-23,2.65,2.8,2.65,2.75,362777
2017-03-24,2.8,2.8,2.7,2.7,285392
2017-03-27,2.7,2.75,2.65,2.7,315274
2017-03-28,2.65,2.7,2.65,2.65,335799
2017-03-29,2.7,2.7,2.65,2.65,279542
2017-03-30,2.7,2.8,2.65,2.8,305868
2017-03-31,2.75,2.8,2.75,2.8,217717
2017-04-03,2.8,3.0,2.75,2.95,740530
2017-04-04,2.95,3.1,2.95,3.05,409449
2017-04-05,3.1,3.1001,2.9,2.95,390714
2017-04-06,2.95,2.9501,2.85,2.85,155165
2017-04-07,2.85,3.0,2.85,3.0,201832
2017-04-10,2.95,3.0,2.8957,3.0,173992
2017-04-11,3.0,3.05,2.9,2.95,241013
2017-04-12,2.95,3.0,2.9,2.95,153660
2017-04-13,2.95,3.0,2.85,2.9,227763
2017-04-17,2.85,2.9,2.75,2.75,298286
2017-04-18,2.75,2.85,2.75,2.8,151193
2017-04-19,2.8,2.85,2.75,2.75,135031
2017-04-20,2.8,2.8,2.75,2.75,181702
2017-04-21,2.75,2.85,2.7,2.75,490891
2017-04-24,2.8,2.9,2.75,2.85,270653
2017-04-25,2.9,2.95,2.85,2.95,245326
2017-04-26,2.9,3.0,2.9,2.95,199031
2017-04-27,2.95,2.9501,2.8,2.9,655320
2017-04-28,2.9,3.05,2.85,3.0,489581
2017-05-01,3.05,3.05,2.8,2.95,645244
2017-05-02,2.95,3.05,2.9,3.0,182032
2017-05-03,3.0,3.05,2.95,3.0,188590
2017-05-04,2.95,3.0,2.9,2.9,199876
2017-05-05,2.9,2.95,2.9,2.95,118591
2017-05-08,2.95,3.0,2.9,3.0,166490
2017-05-09,3.0,3.0,2.75,2.85,549459
2017-05-10,3.0,3.0,2.85,2.95,331710
2017-05-11,2.9,2.9,2.8,2.8,578211
2017-05-12,2.8,2.85,2.75,2.75,524205
2017-05-15,2.75,2.85,2.75,2.8,283599
2017-05-16,2.8,2.8,2.75,2.8,320118
2017-05-17,2.75,2.8,2.65,2.75,506509
2017-05-18,2.85,2.95,2.75,2.9,722970
2017-05-19,2.95,3.0,2.8,3.0,578483
2017-05-22,3.0,3.05,2.95,3.0,415433
2017-05-23,3.05,3.15,3.0,3.1,660713
2017-05-24,3.15,3.15,3.05,3.15,475006
2017-05-25,3.15,3.15,3.075,3.15,468547
2017-05-26,3.15,3.15,3.0,3.1,427559
2017-05-30,3.05,3.2,3.05,3.15,752975
2017-05-31,3.15,3.3,3.15,3.2,414392
2017-06-01,3.2,3.246,3.05,3.1,453964
2017-06-02,3.1,3.15,3.0,3.1,309060
2017-06-05,3.1,3.25,3.05,3.25,509238
2017-06-06,3.15,3.2,3.1,3.15,343610
2017-06-07,3.1,3.2,3.1,3.2,200536
2017-06-08,3.2,3.25,3.15,3.25,374540
2017-06-09,3.25,3.3,3.2,3.3,244229
2017-06-12,3.25,3.4,3.25,3.35,381148
2017-06-13,3.3,3.4,3.25,3.4,291024
2017-06-14,3.4,3.5,3.35,3.5,388580
2017-06-15,3.5,3.65,3.4505,3.65,676368
2017-06-16,3.65,4.0,3.6,4.0,1766080
2017-06-19,4.15,4.35,4.099,4.35,1436171
2017-06-20,4.75,5.3,4.6,5.2,4427292
2017-06-21,5.1,5.4,4.6,5.4,2526398
2017-06-22,5.5,5.5,5.25,5.5,1376205
2017-06-23,5.5,5.7,5.35,5.7,1507307
2017-06-26,5.8,5.85,5.7,5.85,988761
2017-06-27,5.75,5.8,5.5,5.6,1102526
2017-06-28,5.6,5.85,5.4,5.85,1017350
2017-06-29,5.85,5.85,5.65,5.75,760055
2017-06-30,5.75,5.95,5.65,5.85,668439
2017-07-03,5.9,6.05,5.9,6.05,560434
2017-07-05,6.05,6.0946,5.55,5.75,746336
2017-07-06,5.7,5.7,5.4,5.55,782627
2017-07-07,5.5,5.75,5.4,5.75,498950
2017-07-10,5.75,5.95,5.7172,5.8,512002
2017-07-11,5.85,5.899,5.45,5.75,516648
2017-07-12,5.7,5.7587,5.65,5.7,467562
2017-07-13,5.65,5.7,5.4,5.5,623499
2017-07-14,5.5,5.65,5.5,5.6,366629
2017-07-17,5.5,5.55,4.85,5.05,1693675
2017-07-18,5.15,5.45,5.15,5.35,621531
2017-07-19,5.35,5.475,5.3,5.4,420748
2017-07-20,5.4,5.5,5.25,5.3,427897
2017-07-21,5.35,5.35,5.15,5.3,364871
2017-07-24,5.3,5.4,5.2062,5.4,330887
2017-07-25,5.35,5.6,5.3,5.4,491508
2017-07-26,5.4,5.45,5.35,5.35,152557
2017-07-27,5.35,5.45,5.2759,5.35,379177
2017-07-28,5.45,5.5,5.35,5.4,401359
2017-07-31,5.45,5.45,5.05,5.15,578919
2017-08-01,5.15,5.25,5.05,5.2,223923
2017-08-02,5.2,5.2,4.9,4.95,355790
2017-08-03,4.9,4.975,4.8,4.85,288051
2017-08-04,4.85,5.15,4.8,5.05,469191
2017-08-07,5.05,5.15,5.0,5.1,261564
2017-08-08,5.1,5.15,5.0,5.0,474637
2017-08-09,4.65,5.0,4.45,4.9,696230
2017-08-10,4.75,4.85,4.5,4.65,786554
2017-08-11,4.55,4.75,4.5,4.75,339008
