date,open,high,low,close,volume
2017-01-03,19.26,19.68,19.255,19.53,1167668
2017-01-04,19.62,19.68,19.28,19.5,1118142
2017-01-05,19.59,19.59,19.24,19.31,418242
2017-01-06,19.38,19.5,19.11,19.27,1195321
2017-01-09,19.25,19.38,19.12,19.29,292879
2017-01-10,19.4,19.59,19.23,19.45,942584
2017-01-11,19.48,19.72,19.35,19.6,813783
2017-01-12,19.6,19.72,19.2401,19.31,240301
2017-01-13,19.25,19.5,19.25,19.35,350441
2017-01-17,19.38,19.38,18.87,18.9,610060
2017-01-18,18.91,19.215,18.78,18.97,443619
2017-01-19,18.98,19.21,18.79,18.88,616358
2017-01-20,18.88,19.03,18.73,18.85,227590
2017-01-23,18.79,19.0,18.64,18.75,610843
2017-01-24,18.73,19.3,18.73,19.26,939814
2017-01-25,19.4,19.77,19.38,19.75,723925
2017-01-26,19.81,19.9099,19.55,19.58,555216
2017-01-27,19.57,19.68,18.7,19.61,595868
2017-01-30,19.32,19.51,19.2,19.33,497764
2017-01-31,19.36,19.395,19.06,19.18,312221
2017-02-01,19.23,19.56,19.23,19.31,476600
2017-02-02,19.56,19.77,19.04,19.22,404852
2017-02-03,19.27,19.47,19.17,19.36,381306
2017-02-06,19.3,19.32,18.795,18.87,297358
2017-02-07,18.84,19.05,18.72,18.87,374378
2017-02-08,18.88,19.01,18.64,18.91,469296
2017-02-09,18.94,19.275,18.91,19.2,538946
2017-02-10,19.21,19.36,19.12,19.25,259664
2017-02-13,19.28,19.5,19.0,19.01,473910
2017-02-14,18.93,19.25,18.58,19.22,1204290
2017-02-15,18.0,18.5,17.5505,18.25,2312202
2017-02-16,18.67,18.89,18.26,18.61,1615749
2017-02-17,18.53,18.63,18.1801,18.51,827283
2017-02-21,18.32,19.5,18.31,19.4,1208136
2017-02-22,19.26,19.52,18.6,18.83,884901
2017-02-23,18.97,19.35,18.56,18.6,462203
2017-02-24,18.39,18.605,17.98,18.37,1222806
2017-02-27,18.34,19.34,18.34,19.18,1580254
2017-02-28,18.95,19.36,18.38,19.06,1044486
2017-03-01,19.21,19.79,19.11,19.14,740692
2017-03-02,19.1,19.11,18.9,19.01,844105
2017-03-03,19.05,19.24,18.91,19.04,360969
2017-03-06,19.06,19.75,18.91,19.27,385846
2017-03-07,19.2,19.2599,18.95,19.1,342067
2017-03-08,18.8,19.25,18.8,19.05,460791
2017-03-09,19.09,19.19,18.8,19.04,738402
2017-03-10,19.07,19.23,18.81,18.94,522205
2017-03-13,18.92,19.11,18.81,19.02,680594
2017-03-14,18.97,19.19,18.8289,19.08,876620
2017-03-15,19.25,19.43,19.0,19.33,970202
2017-03-16,19.5,19.72,19.09,19.25,592027
2017-03-17,19.2,19.39,19.05,19.25,710656
2017-03-20,19.48,19.69,19.28,19.41,681747
2017-03-21,19.57,19.65,19.01,19.18,670347
2017-03-22,19.18,19.22,18.81,19.06,554463
2017-03-23,19.1,19.46,19.03,19.24,360002
2017-03-24,19.33,19.42,18.98,19.05,438300
2017-03-27,18.91,19.125,18.75,19.11,402767
2017-03-28,19.12,19.31,18.8,19.22,335719
2017-03-29,19.18,19.515,19.11,19.45,383639
2017-03-30,19.53,19.69,19.44,19.59,386796
2017-03-31,19.58,19.84,19.46,19.63,811869
2017-04-03,19.63,19.72,19.03,19.08,632578
2017-04-04,19.07,19.29,18.99,19.05,624958
2017-04-05,19.25,19.39,18.88,19.02,1459754
2017-04-06,19.04,19.38,18.91,19.16,507139
2017-04-07,19.12,19.37,19.05,19.32,615670
2017-04-10,19.32,19.68,19.25,19.39,511262
2017-04-11,19.31,19.49,18.95,19.15,486275
2017-04-12,19.1,19.13,18.66,19.0,724151
2017-04-13,18.98,19.15,18.66,18.79,417571
2017-04-17,18.74,19.07,18.72,19.05,548834
2017-04-18,18.97,19.19,18.94,19.14,484547
2017-04-19,19.21,19.34,19.04,19.23,406791
2017-04-20,19.34,19.75,19.29,19.75,478204
2017-04-21,19.73,19.9,19.56,19.88,347656
2017-04-24,20.0,20.345,19.98,20.33,747608
2017-04-25,20.45,20.83,20.45,20.68,983299
2017-04-26,20.67,21.1,20.57,20.89,1416966
2017-04-27,20.88,21.03,20.57,20.67,388001
2017-04-28,20.8,20.81,20.4,20.5,444795
2017-05-01,20.53,20.69,20.385,20.44,268623
2017-05-02,20.52,20.72,20.46,20.72,507181
2017-05-03,20.59,20.67,20.33,20.52,250858
2017-05-04,20.56,20.81,20.35,20.67,494860
2017-05-05,20.75,21.095,20.61,21.02,784083
2017-05-08,20.04,21.13,19.89,20.26,1305495
2017-05-09,20.25,20.25,19.69,20.06,1392080
2017-05-10,20.05,20.28,19.85,20.24,553671
2017-05-11,20.19,20.19,19.77,19.98,347407
2017-05-12,19.93,19.94,19.74,19.77,279146
2017-05-15,19.83,19.98,19.77,19.91,306701
2017-05-16,19.93,19.93,19.62,19.77,390008
2017-05-17,19.62,19.67,18.79,18.83,473537
2017-05-18,18.74,19.16,18.52,19.06,499743
2017-05-19,19.17,19.62,19.06,19.54,618249
2017-05-22,19.64,19.985,19.46,19.95,642525
2017-05-23,20.0,20.0,19.64,19.83,598172
2017-05-24,19.92,19.98,19.72,19.89,819758
2017-05-25,19.89,19.9,19.66,19.8,265593
2017-05-26,19.8,19.85,19.65,19.79,257045
2017-05-30,19.61,19.79,19.35,19.6,867863
2017-05-31,19.59,19.59,19.04,19.34,1061608
2017-06-01,19.32,19.34,18.89,19.14,744209
2017-06-02,19.14,19.55,19.07,19.46,787210
2017-06-05,19.39,19.5,19.09,19.38,964859
2017-06-06,19.28,19.37,19.01,19.25,722124
2017-06-07,19.19,19.45,19.14,19.36,630251
2017-06-08,19.35,19.66,19.29,19.54,342658
2017-06-09,19.66,19.69,19.48,19.56,554109
2017-06-12,19.56,19.67,19.19,19.34,344845
2017-06-13,19.38,19.5,19.21,19.37,436977
2017-06-14,19.31,19.38,19.14,19.24,307403
2017-06-15,19.07,19.16,18.97,19.11,305095
2017-06-16,19.12,19.12,18.7,18.89,846143
2017-06-19,18.95,19.17,18.92,19.14,420380
2017-06-20,19.1,19.14,18.745,18.91,530494
2017-06-21,18.98,19.02,18.72,18.78,764969
2017-06-22,18.74,18.96,18.615,18.88,761494
2017-06-23,18.87,18.95,18.75,18.81,2019191
2017-06-26,18.84,18.9655,18.71,18.9,756547
2017-06-27,18.86,18.93,18.55,18.55,561982
2017-06-28,18.68,19.14,18.57,18.93,654310
2017-06-29,18.92,19.01,18.55,18.64,1527015
2017-06-30,18.65,18.98,18.61,18.85,901624
2017-07-03,18.79,18.85,18.5134,18.68,652007
2017-07-05,18.67,19.28,18.545,19.23,1236769
2017-07-06,19.12,19.29,18.915,19.02,2182365
2017-07-07,19.01,19.225,18.93,19.15,380895
2017-07-10,19.13,19.36,18.98,19.3,1353658
2017-07-11,19.34,19.52,19.26,19.34,1705286
2017-07-12,19.53,19.53,18.96,19.31,584389
2017-07-13,19.29,19.42,19.16,19.23,422971
2017-07-14,19.25,19.4,19.11,19.39,340226
2017-07-17,19.32,19.55,19.205,19.51,1821722
