date,open,high,low,close,volume
2017-01-03,10.873,11.3599,10.7489,11.3503,2534683
2017-01-04,11.2739,11.7703,11.2358,11.6844,2326313
2017-01-05,11.6462,11.694,11.2644,11.293,2818434
2017-01-06,11.3694,11.3789,11.0544,11.0639,1385384
2017-01-09,10.9876,11.0544,10.6439,10.6534,1478711
2017-01-10,10.7584,11.0162,10.6725,10.7584,1698194
2017-01-11,10.8253,11.0066,10.6343,10.873,1552488
2017-01-12,10.7871,10.8539,10.4721,10.7584,1629576
2017-01-13,10.8253,11.1403,10.8253,10.8635,1538826
2017-01-17,10.9207,10.9494,10.2811,10.3098,1783623
2017-01-18,10.3289,10.3862,10.0998,10.348,1421182
2017-01-19,10.3862,10.5389,10.1475,10.243,1685044
2017-01-20,10.2811,10.3384,10.1093,10.157,1530683
2017-01-23,10.0807,10.1857,9.7466,9.8134,2538686
2017-01-24,9.9088,10.2048,9.8134,10.0998,1815027
2017-01-25,10.2811,10.3766,10.1189,10.3384,2780529
2017-01-26,10.3384,10.4137,9.9279,9.9757,1458951
2017-01-27,9.9566,10.0234,9.7561,9.7752,1464154
2017-01-30,9.6511,9.9948,9.4984,9.9184,2163849
2017-01-31,9.8325,9.8802,9.6177,9.8325,2067516
2017-02-01,9.9279,10.0807,9.5938,9.7657,2234977
2017-02-02,9.632,9.8516,9.5222,9.7466,3350878
2017-02-03,9.5938,9.6416,8.5151,8.5438,9153710
2017-02-06,8.6965,8.7538,8.1905,8.2765,7060599
2017-02-07,8.2765,8.601,8.0664,8.5915,7971903
2017-02-08,8.4674,8.5342,8.1428,8.3146,4082602
2017-02-09,8.3528,8.4674,8.2383,8.2669,3821267
2017-02-10,8.3433,8.4483,8.2383,8.3528,2218383
2017-02-13,8.4395,8.5262,8.2854,8.3143,2035100
2017-02-14,8.3143,8.4781,8.2661,8.4395,2282388
2017-02-15,8.5744,8.69,8.4973,8.5937,2450476
2017-02-16,8.5552,8.6226,8.4492,8.4781,1422876
2017-02-17,8.4877,8.7382,8.3576,8.7189,2428802
2017-02-21,8.902,8.902,8.6997,8.8345,2928032
2017-02-22,8.8153,8.8827,8.7671,8.8442,3393407
2017-02-23,8.7671,8.8634,8.6419,8.8442,2060912
2017-02-24,8.6708,8.8056,8.6226,8.7189,1720973
2017-02-27,8.7189,8.9791,8.6997,8.9791,2603977
2017-02-28,8.8634,8.9598,8.6542,8.7767,2272649
2017-03-01,8.9983,9.3548,8.9694,9.1428,3046744
2017-03-02,9.085,9.2199,8.9742,9.1814,3186086
2017-03-03,8.8827,9.2006,8.8442,8.8827,2317132
2017-03-06,8.7671,8.8345,8.6515,8.8249,1393730
2017-03-07,8.7864,8.9213,8.7478,8.8923,2066791
2017-03-08,8.9116,9.0706,8.9116,8.9983,1983981
2017-03-09,8.9791,8.9935,8.6997,8.8538,1825153
2017-03-10,8.9116,9.0272,8.6419,8.6515,2297795
2017-03-13,8.6611,8.7912,8.6467,8.69,1456133
2017-03-14,8.5841,8.7767,8.5579,8.7575,1432025
2017-03-15,8.8056,8.9694,8.7189,8.8249,2506410
2017-03-16,8.8249,9.1717,8.796,9.0272,2739069
2017-03-17,8.9791,9.1043,8.69,8.7093,2430964
2017-03-20,8.6611,8.7093,8.4973,8.6322,1262576
2017-03-21,8.6997,8.6997,8.2565,8.3336,1999528
2017-03-22,8.3432,8.4203,8.1698,8.3336,1340456
2017-03-23,8.3047,8.4492,8.218,8.2469,1051581
2017-03-24,8.2854,8.3914,8.1601,8.2758,1050995
2017-03-27,8.0927,8.295,7.9964,8.2469,1830817
2017-03-28,8.2469,8.5455,8.1891,8.4588,19338047
2017-03-29,8.4973,8.6226,8.4106,8.4395,1748806
2017-03-30,8.507,8.6611,8.4203,8.5937,1810924
2017-03-31,8.5552,8.8153,8.5455,8.7478,1918386
2017-04-03,8.7767,8.8056,8.4973,8.5937,2048819
2017-04-04,8.5455,8.7767,8.4781,8.6708,1930303
2017-04-05,8.7864,8.7864,8.4203,8.4781,1998226
2017-04-06,8.6226,8.6756,8.4781,8.6515,1734115
2017-04-07,8.5937,8.8442,8.5937,8.7189,3528995
2017-04-10,8.7767,8.8538,8.6515,8.7671,4075370
2017-04-11,8.7575,8.7575,8.1312,8.2565,5585641
2017-04-12,8.2854,8.5166,8.1698,8.3817,4750180
2017-04-13,8.4106,8.4106,7.9097,7.9193,6971312
2017-04-17,7.9482,8.0301,7.8037,7.9964,4353183
2017-04-18,7.9097,8.1408,7.8711,8.0734,2474334
2017-04-19,8.1891,8.2758,8.0927,8.1312,2311338
2017-04-20,8.2083,8.3336,8.1409,8.3239,2520740
2017-04-21,8.3047,8.3625,8.218,8.2372,2026732
2017-04-24,8.3817,8.5841,8.2854,8.5455,3815469
2017-04-25,8.6515,8.7141,8.3721,8.3721,2560017
2017-04-26,8.3817,8.5262,8.2758,8.2758,3044857
2017-04-27,8.3239,8.3721,8.0397,8.0638,3351688
2017-04-28,8.0542,8.3239,8.0349,8.0445,4693586
2017-05-01,7.9578,8.0542,7.823,7.8278,3384233
2017-05-02,7.823,7.9,7.5821,7.8326,3214051
2017-05-03,7.8422,8.0156,7.8422,7.9867,2932813
2017-05-04,8.0445,8.3336,7.9964,8.218,2621588
2017-05-05,8.2565,8.3432,8.0734,8.1794,3058133
2017-05-08,8.2086,8.3739,8.2086,8.3739,1611107
2017-05-09,8.3837,8.5976,8.3642,8.4615,2059913
2017-05-10,8.4128,8.7921,8.4128,8.7824,2070980
2017-05-11,8.6949,8.7824,8.5809,8.6949,2211968
2017-05-12,8.6463,8.8408,8.549,8.7727,2107620
2017-05-15,9.1423,9.3417,9.1034,9.2395,4565172
2017-05-16,9.2882,9.4341,9.2395,9.4146,2598849
2017-05-17,9.2784,9.4535,9.0839,9.2493,3543326
2017-05-18,9.2104,9.3562,9.1228,9.3173,3015381
2017-05-19,9.3173,9.4924,9.3173,9.4243,2301126
2017-05-22,9.4341,9.5605,9.2006,9.2493,2699558
2017-05-23,9.2882,9.3368,9.1034,9.2784,1484291
2017-05-24,9.2687,9.2784,9.066,9.2687,1996371
2017-05-25,9.2687,9.3368,9.1326,9.259,2640043
2017-05-26,9.2201,9.259,9.1228,9.2006,1278689
2017-05-30,9.1423,9.1812,9.0547,9.0936,1313046
2017-05-31,9.1326,9.2784,9.0353,9.2493,1427494
2017-06-01,9.2784,9.5119,9.1228,9.4632,1950424
2017-06-02,9.4438,9.6188,9.3951,9.5994,1872783
2017-06-05,9.5799,9.6577,9.1082,9.1715,2864703
2017-06-06,9.0936,9.0985,8.8797,9.0158,1835672
2017-06-07,9.0547,9.1909,8.9672,9.1909,1675623
2017-06-08,9.2006,9.5021,9.0353,9.3076,1706231
2017-06-09,9.3854,9.6772,9.3703,9.5021,2995699
2017-06-12,9.4924,9.6869,9.3854,9.5897,1860976
2017-06-13,9.648,9.6869,9.4632,9.5021,955756
2017-06-14,9.4438,9.614,9.3806,9.5119,2043279
2017-06-15,9.3854,9.6286,9.3854,9.5216,1237563
2017-06-16,9.5021,9.7636,9.3465,9.6577,3063883
2017-06-19,9.6869,9.8231,9.5605,9.7647,1479638
2017-06-20,9.7258,9.755,9.5021,9.5216,1468370
2017-06-21,9.5605,9.5994,9.366,9.366,1709977
2017-06-22,9.3757,9.9398,9.3562,9.8134,2362816
2017-06-23,9.9009,9.9009,9.6675,9.7064,1491657
2017-06-26,9.7842,9.8717,9.614,9.8231,880210
2017-06-27,9.9009,10.1975,9.862,10.0468,1929631
2017-06-28,10.1343,10.1732,10.0273,10.0857,1150084
2017-06-29,10.2024,10.2413,9.7064,9.8814,1179223
2017-06-30,9.969,9.9787,9.7745,9.8912,1211060
2017-07-03,9.969,10.1878,9.969,10.0273,567040
2017-07-05,10.0273,10.1343,9.9106,10.0565,820232
2017-07-06,9.9009,10.1003,9.7745,10.0565,1585989
2017-07-07,10.144,10.4455,10.0857,10.2316,1924810
2017-07-10,10.2802,10.4358,10.251,10.2996,1586367
2017-07-11,10.251,10.3775,10.1051,10.1149,1205642
2017-07-12,10.144,10.3677,10.1246,10.3094,846114
2017-07-13,10.3288,10.3969,10.1829,10.2024,1769506
2017-07-14,10.1732,10.3775,10.144,10.2121,1269759
2017-07-17,10.2218,10.2607,10.1149,10.1635,1513896
2017-07-18,10.1343,10.2217,10.003,10.144,1356153
2017-07-19,10.1829,10.3775,10.1538,10.3191,1878746
2017-07-20,10.3872,10.4942,10.3094,10.4164,714415
2017-07-21,10.5039,10.5039,10.2413,10.251,1335036
2017-07-24,10.251,10.3191,10.1829,10.2607,1576922
2017-07-25,10.3969,10.4455,10.251,10.3386,1412455
2017-07-26,10.3872,10.4455,10.3386,10.3483,1193017
2017-07-27,10.358,10.3775,9.8571,10.1246,2279500
2017-07-28,9.7745,9.969,9.3368,9.8523,1865508
2017-07-31,9.8523,10.2705,9.7599,10.1538,1380474
2017-08-01,10.2316,10.3969,10.1343,10.2802,1326526
2017-08-02,10.2899,10.2899,9.8425,9.8912,937286
2017-08-03,9.8814,9.9884,9.6869,9.7161,1501090
2017-08-04,9.7258,9.8182,9.5605,9.6188,1662345
2017-08-07,9.6581,9.8934,9.609,9.8149,1611065
2017-08-08,9.7463,9.7855,9.462,9.4816,1396578
2017-08-09,9.3639,9.4423,9.1678,9.2561,1459454
2017-08-10,9.158,9.2511,8.9717,8.9913,1321303
2017-08-11,9.0207,9.2266,8.9815,9.1188,1351285
2017-08-14,9.2168,9.3639,9.0599,9.0698,1330321
2017-08-15,9.0698,9.1218,8.9129,9.0305,1207391
2017-08-16,9.0698,9.1972,8.9129,8.9325,1048207
2017-08-17,8.8737,8.9913,8.2069,8.707,1696039
2017-08-18,8.6383,8.9521,8.6089,8.7364,1204379
2017-08-21,8.6972,8.7854,8.6481,8.7266,954018
2017-08-22,8.756,8.9178,8.756,8.854,681586
2017-08-23,8.7854,8.9227,8.7756,8.7756,555645
2017-08-24,8.8638,9.158,8.854,9.0109,1503387
