date,open,high,low,close,volume
2017-01-03,5.12,5.43,5.12,5.35,26791635
2017-01-04,5.4,5.87,5.37,5.75,34054617
2017-01-05,5.75,6.04,5.65,5.78,34234673
2017-01-06,5.81,6.04,5.71,5.91,27923568
2017-01-09,5.78,6.01,5.67,5.88,24325322
2017-01-10,5.9,5.9,5.43,5.68,23833385
2017-01-11,5.79,5.79,5.55,5.66,18541682
2017-01-12,5.76,5.78,5.25,5.27,26530634
2017-01-13,5.25,5.36,5.175,5.26,15290271
2017-01-17,5.31,5.47,5.28,5.42,23528644
2017-01-18,5.38,5.44,5.28,5.33,13550900
2017-01-19,5.35,5.41,5.27,5.37,14622540
2017-01-20,5.42,5.525,5.38,5.42,15569425
2017-01-23,5.4,5.4,5.1307,5.29,20331127
2017-01-24,5.32,5.35,5.19,5.28,12707698
2017-01-25,5.31,5.53,5.29,5.42,20307683
2017-01-26,5.43,5.52,5.38,5.4,16095405
2017-01-27,5.31,5.42,5.21,5.26,19350680
2017-01-30,5.24,5.25,4.97,5.18,25116357
2017-01-31,5.18,5.22,5.07,5.21,24215573
2017-02-01,5.25,5.28,5.1,5.18,24539385
2017-02-02,5.6,6.0075,5.58,5.77,74846221
2017-02-03,5.85,6.29,5.8,6.14,60023226
2017-02-06,6.15,6.25,5.95,6.0,40300705
2017-02-07,6.0,6.11,5.77,5.85,26495250
2017-02-08,5.79,5.9,5.5857,5.82,22652266
2017-02-09,5.86,6.04,5.84,5.96,20491261
2017-02-10,6.08,6.15,6.03,6.06,22032857
2017-02-13,6.0,6.16,6.0,6.08,16614501
2017-02-14,6.11,6.18,6.01,6.15,14086364
2017-02-15,6.16,6.19,6.04,6.15,11652615
2017-02-16,6.16,6.21,5.905,5.96,14751417
2017-02-17,5.9,5.91,5.67,5.7,20014158
2017-02-21,5.8,5.92,5.78,5.82,20565305
2017-02-22,5.74,5.88,5.68,5.72,14151554
2017-02-23,5.85,5.91,5.67,5.75,13266337
2017-02-24,5.7,5.72,5.5,5.57,12509931
2017-02-27,5.56,5.85,5.54,5.77,14179983
2017-02-28,5.71,5.71,5.575,5.66,11939554
2017-03-01,5.74,5.94,5.65,5.84,18443569
2017-03-02,5.75,6.005,5.72,5.75,15082754
2017-03-03,5.77,5.92,5.76,5.78,11802999
2017-03-06,5.74,5.91,5.69,5.89,16301019
2017-03-07,6.92,7.09,6.53,6.63,107229602
2017-03-08,6.59,6.78,6.365,6.44,40483486
2017-03-09,6.38,6.61,6.12,6.35,30505264
2017-03-10,6.43,6.56,6.32,6.51,25051446
2017-03-13,6.5,6.565,6.21,6.32,21128216
2017-03-14,6.16,6.16,5.82,5.98,40288207
2017-03-15,6.08,6.3,5.99,6.28,27424279
2017-03-16,6.3,6.425,6.18,6.33,16601164
2017-03-17,6.33,6.38,6.145,6.15,15026835
2017-03-20,6.07,6.27,5.97,6.18,13937807
2017-03-21,6.21,6.28,5.95,6.11,17031961
2017-03-22,5.97,6.09,5.92,6.03,16394513
2017-03-23,6.04,6.065,5.83,5.87,16810666
2017-03-24,5.91,6.25,5.86,5.89,19001549
2017-03-27,6.33,6.51,6.25,6.36,36798144
2017-03-28,6.4,6.61,6.38,6.5,19738802
2017-03-29,6.49,6.705,6.46,6.63,15838926
2017-03-30,6.71,6.75,6.55,6.6,10632260
2017-03-31,6.52,6.72,6.51,6.65,16025298
2017-04-03,6.65,6.68,6.335,6.42,18172851
2017-04-04,6.41,6.62,6.32,6.59,15959567
2017-04-05,6.68,6.86,6.52,6.55,22223176
2017-04-06,6.58,6.72,6.47,6.57,18751344
2017-04-07,6.6,6.615,6.325,6.35,18611176
2017-04-10,6.44,6.59,6.39,6.52,13100759
2017-04-11,6.52,6.59,6.42,6.52,15090580
2017-04-12,6.49,6.52,6.23,6.33,19874268
2017-04-13,6.13,6.305,6.0,6.06,24992066
2017-04-17,6.1,6.16,5.91,5.92,19003118
2017-04-18,5.89,6.02,5.78,5.98,23586913
2017-04-19,6.08,6.0899,5.685,5.72,29150756
2017-04-20,5.75,5.81,5.625,5.71,17287181
2017-04-21,5.7,5.72,5.46,5.47,23320340
2017-04-24,5.54,5.575,5.32,5.48,20953118
2017-04-25,5.49,5.66,5.39,5.61,19195439
2017-04-26,5.52,5.93,5.52,5.74,21772207
2017-04-27,5.65,5.67,5.33,5.62,35532598
2017-04-28,5.94,6.09,5.77,5.77,40989979
2017-05-01,5.73,5.79,5.4,5.47,34330473
2017-05-02,5.48,5.57,5.26,5.3,27994533
2017-05-03,5.29,5.45,5.15,5.32,22484116
2017-05-04,5.2,5.21,4.83,5.03,41769781
2017-05-05,5.04,5.23,4.94,5.21,24061837
2017-05-08,5.19,5.25,5.07,5.13,21292570
2017-05-09,5.12,5.155,4.88,5.07,25772080
2017-05-10,5.15,5.34,5.08,5.19,22179518
2017-05-11,5.28,5.28,5.1,5.12,17607059
2017-05-12,5.13,5.15,5.0,5.04,13366777
2017-05-15,5.23,5.41,5.12,5.23,26591502
2017-05-16,5.19,5.27,5.03,5.15,16792729
2017-05-17,5.07,5.12,4.96,4.97,20370747
2017-05-18,4.93,5.1,4.86,5.05,17879639
2017-05-19,5.09,5.33,5.05,5.23,20906884
2017-05-22,5.35,5.45,5.21,5.27,16654741
2017-05-23,5.36,5.4,5.2,5.33,12986978
2017-05-24,5.32,5.48,5.24,5.32,24192212
2017-05-25,5.32,5.405,4.97,5.09,29573502
2017-05-26,5.12,5.2,5.03,5.09,11627571
2017-05-30,5.02,5.1,4.87,4.9,20016131
2017-05-31,4.83,4.91,4.61,4.8,34036075
2017-06-01,4.82,4.985,4.74,4.79,24897684
2017-06-02,4.75,4.78,4.5,4.73,21962471
2017-06-05,4.69,4.73,4.57,4.68,17680943
2017-06-06,4.65,4.75,4.48,4.73,28237219
2017-06-07,4.67,4.77,4.3,4.36,33830434
2017-06-08,4.34,4.36,4.11,4.19,30879839
2017-06-09,4.2,4.55,4.11,4.46,31597225
2017-06-12,4.55,4.63,4.33,4.36,25023253
2017-06-13,4.39,4.55,4.34,4.52,29264253
2017-06-14,4.49,4.5,4.12,4.15,25524353
2017-06-15,4.1,4.15,3.6945,3.77,50122946
2017-06-16,3.98,4.12,3.88,4.09,27785998
2017-06-19,4.06,4.15,4.0,4.08,18503908
2017-06-20,3.94,4.12,3.83,4.1,37662476
2017-06-21,4.1099,4.13,3.71,3.89,43100273
2017-06-22,3.89,4.05,3.87,3.96,18361714
2017-06-23,3.96,4.03,3.93,4.01,19772291
2017-06-26,4.01,4.05,3.84,3.85,20083530
2017-06-27,3.91,3.98,3.78,3.81,21070488
2017-06-28,3.83,3.9,3.76,3.77,18937935
2017-06-29,3.78,3.89,3.77,3.85,21710020
2017-06-30,3.84,3.92,3.7,3.87,22165879
2017-07-03,3.88,4.03,3.88,4.0,9288455
2017-07-05,3.98,3.99,3.83,3.95,19525646
2017-07-06,3.97,3.99,3.56,3.59,28918056
2017-07-07,3.54,3.55,3.39,3.53,27411554
2017-07-10,3.52,3.74,3.48,3.73,19549783
2017-07-11,3.69,3.79,3.57,3.75,15256863
2017-07-12,3.85,3.89,3.7113,3.86,21307798
2017-07-13,3.84,4.15,3.76,4.13,39727232
2017-07-14,4.13,4.21,4.03,4.19,16338372
2017-07-17,4.2,4.38,4.19,4.29,22571226
2017-07-18,4.33,4.34,4.18,4.23,15931634
2017-07-19,4.22,4.6,4.195,4.55,20667293
2017-07-20,4.59,4.68,4.39,4.48,22576431
2017-07-21,4.43,4.49,4.31,4.38,15958798
2017-07-24,4.43,4.44,4.18,4.22,16051378
2017-07-25,4.27,4.43,4.26,4.34,16335024
2017-07-26,4.42,4.52,4.32,4.37,17552878
2017-07-27,4.33,4.4,4.23,4.38,17737263
2017-07-28,4.4,4.72,4.26,4.27,23638968
2017-07-31,4.3,4.56,4.22,4.46,20149709
2017-08-01,4.4,4.44,4.33,4.35,12086266
2017-08-02,4.46,4.54,4.3,4.48,18318690
2017-08-03,4.5,4.55,4.34,4.4,18323763
2017-08-04,4.4,4.44,4.33,4.35,12086266
2017-08-07,4.3,4.34,4.24,4.25,9522303
2017-08-08,4.28,4.3,4.07,4.11,15084493
2017-08-09,4.13,4.17,3.955,4.03,19075429
2017-08-10,4.05,4.095,3.9,3.95,12474847
2017-08-11,3.9,4.0,3.88,3.95,9309511
2017-08-14,3.96,4.055,3.84,4.0,14435458
2017-08-15,3.96,3.98,3.85,3.9,9983763
2017-08-16,3.92,4.03,3.86,3.91,12124466
2017-08-17,3.86,3.9359,3.83,3.86,11761232
2017-08-18,3.89,4.04,3.83,4.01,12064345
2017-08-21,4.01,4.01,3.84,3.86,10022679
2017-08-22,3.88,3.91,3.81,3.82,15317369
2017-08-23,3.8,3.95,3.79,3.91,8300467
2017-08-24,3.86,3.9147,3.82,3.9,6260745
2017-08-25,3.9,4.0,3.87,3.97,6253785
2017-08-28,3.97,3.99,3.77,3.91,12687814
2017-08-29,3.87,3.95,3.81,3.95,6827673
2017-08-30,3.91,3.92,3.71,3.79,13344411
2017-08-31,3.81,3.93,3.73,3.83,16847566
2017-09-01,3.85,4.06,3.825,4.01,13066194
2017-09-05,4.07,4.17,4.05,4.11,16059132
2017-09-06,4.13,4.3,4.125,4.18,29481816
2017-09-07,4.18,4.22,4.05,4.08,15602471
2017-09-08,4.05,4.11,3.9,3.98,14305319
2017-09-11,4.0,4.03,3.93,3.99,11425717
2017-09-12,4.0,4.21,3.99,4.19,13999708
2017-09-13,4.23,4.49,4.2186,4.37,22394139
2017-09-14,4.41,4.58,4.39,4.42,24879097
2017-09-15,4.39,4.48,4.25,4.42,18093572
2017-09-18,4.4,4.48,4.295,4.43,13546750
2017-09-19,4.44,4.45,4.12,4.14,21581455
2017-09-20,4.19,4.21,4.03,4.06,26047315
2017-09-21,4.09,4.185,4.0,4.14,15976883
2017-09-22,4.14,4.27,4.11,4.26,13427097
2017-09-25,4.35,4.43,4.205,4.26,16444181
2017-09-26,4.25,4.39,4.2,4.37,12168822
2017-09-27,4.38,4.5175,4.34,4.5,16144866
2017-09-28,4.56,4.72,4.5,4.51,19359329
2017-09-29,4.54,4.63,4.53,4.58,15015367
2017-10-02,4.46,4.555,4.37,4.43,14008396
2017-10-03,4.41,4.45,4.32,4.38,11413338
2017-10-04,4.4,4.49,4.23,4.27,21054234
2017-10-05,4.27,4.39,4.25,4.27,19604428
2017-10-06,4.18,4.289,4.1616,4.24,12567121
2017-10-09,4.26,4.295,4.17,4.21,10671408
2017-10-10,4.33,4.345,4.04,4.09,20690920
2017-10-11,4.05,4.13,3.98,4.02,17826026
2017-10-12,3.95,4.06,3.85,3.99,18695883
2017-10-13,4.02,4.055,3.87,3.89,14521875
2017-10-16,3.94,3.96,3.84,3.87,11406764
2017-10-17,3.9,3.98,3.82,3.96,15373992
2017-10-18,3.95,4.04,3.8,3.8,15707602
2017-10-19,3.8,3.88,3.635,3.7,21953404
2017-10-20,3.71,3.71,3.49,3.54,43706434
2017-10-23,3.55,3.59,3.26,3.4,49123331
2017-10-24,3.38,3.39,3.16,3.31,39475455
2017-10-25,3.35,3.38,3.21,3.37,32198327
2017-10-26,3.38,3.42,3.2,3.21,28619666
2017-10-27,3.21,3.31,3.16,3.27,21527674
2017-10-30,3.25,3.36,3.22,3.27,20946086
2017-10-31,3.24,3.53,3.24,3.47,37330218
2017-11-01,3.69,3.89,3.57,3.67,44133835
2017-11-02,3.67,3.81,3.65,3.79,26798256
2017-11-03,3.94,4.05,3.77,3.99,34884713
