date,open,high,low,close,volume
2017-01-03,2.9,2.98,2.73,2.85,2824678
2017-01-04,2.88,2.95,2.83,2.94,1593842
2017-01-05,2.98,3.05,2.91,2.91,1398357
2017-01-06,3.01,3.22,2.96,3.19,5585458
2017-01-09,3.18,3.39,3.0,3.16,3791817
2017-01-10,3.24,3.34,3.14,3.21,2075572
2017-01-11,3.27,3.3,3.15,3.22,2265239
2017-01-12,3.29,3.34,3.2,3.27,1767303
2017-01-13,3.22,3.3,3.2,3.23,1412199
2017-01-17,3.27,3.3,3.19,3.19,1943525
2017-01-18,3.18,3.2199,3.0,3.18,1833890
2017-01-19,3.2,3.24,3.12,3.15,1038993
2017-01-20,3.2,3.23,3.12,3.16,1403229
2017-01-23,3.16,3.18,3.05,3.08,1688072
2017-01-24,3.09,3.1,2.93,3.07,1789080
2017-01-25,3.06,3.1,3.04,3.07,1314921
2017-01-26,3.11,3.17,3.08,3.13,1602557
2017-01-27,3.12,3.12,2.99,3.05,1470478
2017-01-30,3.03,3.03,2.83,2.9,1884150
2017-01-31,2.88,2.93,2.81,2.9,1544199
2017-02-01,2.9,2.93,2.835,2.88,1220212
2017-02-02,2.88,2.95,2.835,2.86,1126563
2017-02-03,2.9,2.95,2.84,2.88,969651
2017-02-06,2.88,2.94,2.85,2.88,1023983
2017-02-07,2.86,2.899,2.74,2.74,1635308
2017-02-08,2.72,2.765,2.63,2.69,1765728
2017-02-09,2.73,2.77,2.71,2.76,1109329
2017-02-10,2.8,2.88,2.79,2.83,1233098
2017-02-13,2.81,2.84,2.75,2.83,1219891
2017-02-14,2.84,2.85,2.77,2.82,941228
2017-02-15,2.78,2.835,2.75,2.78,939165
2017-02-16,2.78,2.81,2.75,2.77,831124
2017-02-17,2.76,2.8,2.73,2.78,667850
2017-02-21,2.82,2.88,2.78,2.79,1277964
2017-02-22,2.83,2.83,2.66,2.68,1658044
2017-02-23,2.71,2.72,2.6,2.63,1281168
2017-02-24,2.57,2.62,2.52,2.57,1364586
2017-02-27,2.56,2.62,2.52,2.57,1122962
2017-02-28,2.52,2.6,2.5,2.51,1643373
2017-03-01,2.54,2.67,2.54,2.62,1801288
2017-03-02,2.79,3.08,2.7,2.79,6714227
2017-03-03,2.79,3.02,2.79,2.91,1843840
2017-03-06,2.95,2.95,2.81,2.86,1412650
2017-03-07,2.93,2.97,2.83,2.85,1348095
2017-03-08,2.82,2.91,2.705,2.73,1667583
2017-03-09,2.7,2.76,2.585,2.68,2697722
2017-03-10,2.69,2.75,2.645,2.68,1453229
2017-03-13,2.67,2.78,2.65,2.67,1301463
2017-03-14,2.64,2.656,2.525,2.62,1472156
2017-03-15,2.63,2.87,2.6,2.84,1800730
2017-03-16,2.84,2.94,2.82,2.87,1490021
2017-03-17,2.9,2.94,2.82,2.83,1800119
2017-03-20,2.82,2.875,2.79,2.87,779463
2017-03-21,2.87,2.92,2.78,2.81,1188980
2017-03-22,2.78,2.805,2.71,2.76,971882
2017-03-23,2.76,2.89,2.74,2.84,885696
2017-03-24,2.84,2.89,2.765,2.8,720273
2017-03-27,2.77,2.85,2.7,2.82,849218
2017-03-28,2.85,2.87,2.75,2.8,1286356
2017-03-29,2.78,2.84,2.75,2.76,1362799
2017-03-30,2.78,2.87,2.76,2.77,1372706
2017-03-31,2.77,2.835,2.76,2.77,1055524
2017-04-03,2.76,2.7899,2.65,2.68,1583551
2017-04-04,2.68,2.765,2.66,2.67,1128669
2017-04-05,2.73,2.79,2.63,2.64,1915276
2017-04-06,2.69,2.74,2.65,2.74,1106955
2017-04-07,2.8,2.81,2.68,2.7,1138502
2017-04-10,2.7,2.735,2.69,2.71,615067
2017-04-11,2.69,2.71,2.66,2.69,684950
2017-04-12,2.69,2.79,2.64,2.64,1774071
2017-04-13,2.63,2.67,2.47,2.49,1573394
2017-04-17,2.49,2.535,2.46,2.52,1064392
