date,open,high,low,close,volume
2017-01-03,24.2155,24.5919,23.6411,24.5721,1212032
2017-01-04,24.5028,25.9488,24.5028,25.7804,1281181
2017-01-05,25.8695,26.2855,25.1515,25.5823,1223611
2017-01-06,25.6715,26.2459,25.3743,26.1469,749667
2017-01-09,26.3251,26.5628,25.6913,26.1369,752427
2017-01-10,26.236,26.3152,25.5328,26.2459,661516
2017-01-11,26.1865,26.6916,25.097,25.1564,1100574
2017-01-12,24.889,25.1465,24.1957,25.0178,1240608
2017-01-13,25.1366,25.5031,24.3641,24.5325,1037311
2017-01-17,24.2948,24.6414,23.5817,24.5028,1663605
2017-01-18,24.7207,24.8494,24.166,24.8296,972565
2017-01-19,25.03,25.07,23.2,23.51,1806366
2017-01-20,23.56,23.795,23.07,23.31,1217431
2017-01-23,23.2,23.394,21.98,22.09,1613024
2017-01-24,21.98,22.4264,21.1532,21.65,2150832
2017-01-25,21.89,22.0,21.06,21.14,1741921
2017-01-26,21.12,21.75,20.7,20.78,1203897
2017-01-27,20.88,21.64,20.6,21.6,1156147
2017-01-30,21.9,21.9,20.6,21.0,1178076
2017-01-31,20.89,21.57,20.41,21.16,1700042
2017-02-01,21.2,21.24,20.43,20.49,1234735
2017-02-02,21.01,21.95,20.39,20.94,3462329
2017-02-03,21.18,22.06,20.97,22.04,1696018
2017-02-06,22.21,22.39,21.22,21.43,1578330
2017-02-07,21.42,22.1203,21.23,21.41,1313364
2017-02-08,21.32,21.63,21.09,21.33,1010890
2017-02-09,21.53,21.88,21.47,21.65,1008600
2017-02-10,21.68,21.97,21.35,21.85,726456
2017-02-13,22.0,22.5,21.77,22.27,1132100
2017-02-14,22.25,23.3401,22.13,23.29,1351937
2017-02-15,23.24,23.75,23.16,23.65,1309778
2017-02-16,23.91,23.97,23.05,23.57,1344800
2017-02-17,23.35,23.71,23.11,23.43,869686
2017-02-21,23.53,23.7,23.1,23.3,898420
2017-02-22,23.25,23.47,22.33,22.33,1124630
2017-02-23,22.41,22.59,21.8601,22.03,857293
2017-02-24,21.79,22.27,21.52,21.91,838611
2017-02-27,21.83,23.02,21.75,22.96,1101410
2017-02-28,22.94,23.05,22.21,22.26,879337
2017-03-01,22.63,23.05,21.7,21.8,1546473
2017-03-02,21.11,24.0,20.2,23.56,4021072
2017-03-03,23.46,23.49,22.78,22.92,1467874
2017-03-06,22.85,22.92,22.38,22.73,848209
2017-03-07,22.34,22.769,22.0,22.25,1240405
2017-03-08,22.31,23.26,22.31,22.83,831981
2017-03-09,22.72,23.22,22.565,22.91,600920
2017-03-10,22.89,23.84,22.83,23.78,811038
2017-03-13,23.74,23.74,22.79,22.86,1807565
2017-03-14,22.63,22.75,20.799,20.83,2135994
2017-03-15,20.82,21.32,20.45,21.16,1494554
2017-03-16,21.19,21.48,20.951,21.38,1001864
2017-03-17,21.1,21.59,20.81,20.99,2239790
2017-03-20,20.98,21.15,20.5323,20.68,824837
2017-03-21,20.76,21.03,19.25,19.31,1800327
2017-03-22,19.24,19.5,18.55,19.19,1367333
2017-03-23,19.06,19.51,18.85,18.93,791977
2017-03-24,18.93,19.35,18.78,19.14,715471
2017-03-27,18.9,20.14,18.8593,20.02,932238
2017-03-28,19.7,20.23,19.46,19.95,719679
2017-03-29,19.99,21.0,19.92,20.23,1100731
2017-03-30,20.2,20.22,19.7,19.72,790908
2017-03-31,19.75,20.12,19.6901,19.82,512808
2017-04-03,19.9,20.2,19.235,19.37,901737
2017-04-04,19.35,19.58,18.86,19.28,822225
2017-04-05,19.33,19.65,18.59,18.92,1315919
2017-04-06,18.87,19.04,18.41,19.02,1220515
2017-04-07,18.89,19.24,18.6277,19.22,954872
2017-04-10,19.25,20.425,19.15,20.19,1322455
2017-04-11,20.19,20.429,19.2902,19.68,1242943
2017-04-12,19.7,20.06,19.5599,19.87,926669
2017-04-13,19.86,20.2,19.58,19.67,902459
2017-04-17,19.69,19.96,19.44,19.5,616320
2017-04-18,19.47,19.47,18.74,19.33,1088497
2017-04-19,19.44,20.37,19.21,20.12,1229500
2017-04-20,20.25,20.44,20.0,20.3,800106
2017-04-21,20.3,20.43,20.02,20.17,1037051
2017-04-24,20.5,20.6,20.2,20.27,618000
2017-04-25,20.43,21.25,20.26,21.13,993413
2017-04-26,21.12,21.44,21.0,21.33,878904
2017-04-27,21.41,21.75,21.19,21.47,855857
2017-04-28,21.53,21.67,20.63,20.84,542069
2017-05-01,20.88,21.17,20.65,21.03,325937
2017-05-02,21.11,21.41,20.61,21.18,688979
2017-05-03,21.06,21.415,20.76,21.14,497456
2017-05-04,21.23,21.29,20.75,21.13,492185
2017-05-05,21.17,21.17,20.45,20.57,653324
2017-05-08,20.44,20.68,19.22,19.36,994561
2017-05-09,19.46,19.66,18.8945,19.44,1252900
2017-05-10,19.44,19.6,18.93,19.56,1015724
2017-05-11,20.71,23.9,20.12,23.62,5323975
2017-05-12,23.62,24.2599,22.91,24.14,1862026
2017-05-15,24.25,26.99,24.21,25.67,2869905
2017-05-16,25.64,26.169,24.19,24.25,1700825
2017-05-17,23.86,24.91,23.639,23.75,1302926
2017-05-18,23.82,24.36,23.62,24.28,777465
2017-05-19,24.27,24.47,23.26,23.49,829017
2017-05-22,23.57,23.71,22.24,22.48,1272982
2017-05-23,22.4,23.01,22.311,22.93,898849
2017-05-24,23.0,23.64,22.95,23.23,928947
2017-05-25,23.34,23.36,21.9,22.11,1151228
2017-05-26,22.0,23.02,21.8,21.89,811148
2017-05-30,21.92,22.51,21.67,21.8,789208
2017-05-31,22.04,22.05,20.14,21.32,2288731
2017-06-01,21.29,21.94,21.14,21.83,1021907
2017-06-02,22.03,22.14,21.355,22.07,880424
2017-06-05,22.28,22.52,21.531,21.82,962212
2017-06-06,21.78,22.23,21.531,21.96,499106
2017-06-07,21.8,22.14,21.73,22.02,552442
2017-06-08,22.03,23.04,21.8,22.65,807608
2017-06-09,22.68,23.25,22.25,22.35,844321
2017-06-12,22.26,23.28,21.87,23.16,1038792
2017-06-13,23.28,23.47,22.44,22.78,831492
2017-06-14,22.74,23.94,22.71,23.48,726429
2017-06-15,23.35,23.835,22.66,22.82,609381
2017-06-16,22.83,22.91,22.371,22.56,2218777
2017-06-19,22.74,23.59,22.46,23.4,913300
2017-06-20,23.3,23.92,23.2216,23.3,727518
2017-06-21,23.36,24.18,23.26,23.95,759165
2017-06-22,24.05,25.63,23.76,25.29,1230583
2017-06-23,25.18,25.8,24.78,25.36,1115712
2017-06-26,25.36,25.88,24.8454,25.38,748671
2017-06-27,25.34,25.46,24.04,24.07,868905
2017-06-28,24.33,25.11,23.88,24.93,669214
2017-06-29,24.93,25.18,23.82,24.14,808859
2017-06-30,24.22,24.55,23.72,24.09,666799
2017-07-03,24.17,24.72,23.98,24.4,327188
2017-07-05,24.45,25.3,24.25,25.13,854253
2017-07-06,24.94,25.15,24.06,24.16,958970
2017-07-07,24.32,24.8013,24.11,24.23,572649
2017-07-10,24.22,24.3535,23.43,23.5,597129
2017-07-11,23.48,23.7154,22.9,23.14,529870
2017-07-12,23.28,23.83,23.205,23.55,443708
2017-07-13,23.5,24.45,23.05,24.12,598077
2017-07-14,24.12,24.48,23.09,23.13,947150
2017-07-17,23.08,23.58,22.79,22.83,564718
2017-07-18,22.8,23.07,22.43,22.92,495632
2017-07-19,22.96,23.29,22.76,23.0,511796
2017-07-20,23.0,23.74,22.97,23.65,605763
2017-07-21,23.5,23.84,23.41,23.61,390890
2017-07-24,23.51,23.8,23.03,23.06,581176
2017-07-25,23.24,23.4,22.79,23.19,595387
2017-07-26,23.21,23.45,22.95,23.12,342023
2017-07-27,23.23,23.64,22.43,22.49,643431
2017-07-28,22.39,22.59,21.94,22.55,440405
2017-07-31,22.51,22.51,21.56,21.59,581964
2017-08-01,21.32,21.7,21.22,21.65,496088
2017-08-02,21.39,21.69,20.6,21.09,658764
2017-08-03,21.05,21.4,20.93,21.32,657590
2017-08-04,21.32,21.7,21.22,21.65,496090
2017-08-07,21.65,21.93,21.43,21.5,557609
2017-08-08,21.47,21.6599,20.63,20.66,704056
2017-08-09,20.48,21.1,20.19,20.98,987342
2017-08-10,20.01,20.78,17.74,18.66,2988896
2017-08-11,18.52,19.683,17.7,19.65,2111631
2017-08-14,19.99,20.5,18.51,18.55,2100036
2017-08-15,18.58,18.87,17.82,18.63,1527722
2017-08-16,18.64,18.81,17.96,18.21,1072306
2017-08-17,18.15,18.33,17.585,17.62,1247781
2017-08-18,17.66,17.75,17.05,17.3,1084875
2017-08-21,17.33,17.83,17.035,17.39,1020970
2017-08-22,17.43,17.89,17.275,17.82,672686
2017-08-23,17.77,18.15,17.3,18.03,717421
2017-08-24,18.25,18.68,17.7701,18.67,812738
2017-08-25,18.67,18.749,17.69,17.73,1155803
2017-08-28,18.02,18.27,17.77,18.11,1176436
2017-08-29,17.75,19.37,17.67,19.04,1573089
2017-08-30,19.01,19.29,18.71,19.17,1006197
2017-08-31,19.18,19.99,19.05,19.73,1036525
2017-09-01,19.65,20.67,19.615,20.17,1296477
2017-09-05,20.0,20.47,19.5,20.04,907738
2017-09-06,20.18,20.3555,19.6701,19.96,660294
2017-09-07,19.9,20.1,19.55,19.82,573926
2017-09-08,19.8,20.25,19.75,19.85,490716
2017-09-11,20.07,20.25,19.64,19.85,612637
2017-09-12,19.91,20.07,19.59,19.81,572475
2017-09-13,19.69,20.02,19.45,19.83,803822
2017-09-14,19.82,19.82,18.61,18.89,1197275
2017-09-15,18.92,19.47,18.85,19.37,1527015
2017-09-18,19.37,19.7,19.36,19.47,673895
2017-09-19,19.48,19.49,18.715,18.81,923912
2017-09-20,18.79,19.19,18.65,18.89,696285
2017-09-21,18.91,19.04,18.56,18.75,568386
2017-09-22,18.66,18.92,18.52,18.75,502814
2017-09-25,18.66,19.06,18.55,18.7,908751
2017-09-26,18.94,18.94,18.4,18.69,527246
2017-09-27,18.68,19.35,18.66,19.01,785113
2017-09-28,19.05,19.23,18.75,18.82,626627
2017-09-29,18.87,19.3,18.66,19.01,826149
2017-10-02,19.07,19.58,18.96,19.41,828932
2017-10-03,19.43,19.5,19.21,19.47,474760
2017-10-04,19.38,19.88,19.33,19.82,785808
2017-10-05,19.94,20.49,19.6,20.39,1023058
2017-10-06,20.28,20.35,19.11,19.17,1150135
2017-10-09,19.08,19.26,18.6,18.88,827149
2017-10-10,18.92,19.2,18.7618,18.8,670878
2017-10-11,18.67,19.0499,17.922,17.97,1442582
